Programma=[Retail],Vista distributore=[Approvvigionamento],Visualizza per=[ASIN],Paesi=[IT],Aziende=[Naturwaren Italia srl],Lingua=[it_IT],Valuta=[EUR],Intervallo report=[Personalizzato],Intervallo di visualizzazione=[01/10/24 - 31/10/24],Report aggiornato=[09/12/25]
ASIN,"Titolo del prodotto",Marchio,"Ricavi spedizioni","COGS spedizioni","Unità spedite","Resi cliente"
B00VXD970W,"Dr. Theiss Arnica Crema Effetto Termico - Crema Riscaldante 50 ml - Dona Sollievo e Benessere - Coadiuvante per la Pelle del Corpo, con Peperoncino, Canfora e Oli Essenziali di Rosmarino e Abete","Dr. Theiss","12.966,57 €","11.161,92 €",2114,6
B00H2LLLQW,"Allga San Burro Speciale Piedi - Crema Piedi Secchi e Screpolati, 200 ml - Idratante e Profumata per Piedi Vellutati Fin dalle Prime Applicazioni - Con Burro di Karitè e Burro di Cacao","Allga San","8.111,87 €","9.080,07 €",1424,5
B06Y4DG5JG,"THEISS ARNICA Gel Forte 100 ml",Dr.Theiss,"5.240,59 €","5.655,00 €",725,9
B08VT6RYFL,"Dr. Thiess Mucoplant Kids Tuss - 6 Lecca Lecca Allevia Tosse Bambini 60 g - Chupa Chupa per Sollievo Mal di Gola e Tosse Secca (Estratto di Lichene Islandico, Altea e Timo) Alternativa allo Sciroppo","Dr. Thiess","3.497,07 €","3.715,83 €",1007,1
B0BGHSYJQ2,"Dr Theiss Arni-Patch - Cerotti per i Dolori Effetto Termico (Confezione da 5) con Arnica e Artiglio del Diavolo per Trattamento di Dolori Articolari e Muscolari, a Cervicale, Schiena o Pancia","Dr. Theiss","3.336,22 €","4.619,00 €",596,3
B01MQPK0LU,"Dr. Theiss Echinacea Forte - Echinacea Normali Difese Immunitarie Adulti 50 ml in Gocce - Integratore Alimentare per la Fisiologica Funzionalità del Sistema Immunitario","Dr Theiss","2.179,64 €","2.034,14 €",382,3
B00H2L44Q6,"Allga San Sali da Bagno Per Pediluvio Piedi - ad Azione Igienizzante, Ammorbidisce i Piedi Secchi, Aiuta il Microcircolo, Contrasta l'Odore - Con Olio di Pino Mugo","Allga San","2.124,20 €","2.525,20 €",472,2
B00I98C4J0,"Lacalut Aktiv Igiene Dentale - Dentifricio Denti Sensibili al Fluoro 75 ml - Combatte Placca e Tartaro, Anche per Gengive, con Clorexidina e Aroma di Menta per Alito Fresco e Completa Igiene Orale",Lacalut,"1.908,76 €","1.520,34 €",780,1
B08MXDR81V,"Dr. Theiss Tisana al Pino Mugo - Tisana Balsamica Benessere Naso e Gola Confezione da 20 Filtri - Integratore Alimentare con Piante Balsamiche (Eucalipto, Menta, Liquirizia e Lavanda)","Dr. Thiess","1.397,32 €","1.237,03 €",347,1
B00H806WYI,"Allga San Mobil Crema - Crema Riscaldante 50 ml - Pomata Massaggio Professionale Con Olio Essenziale di Pino Mugo e Gautheria - Dona da Subito Sollievo e una Rapida Sensazione di Benessere","Allga San","894,04 €","726,00 €",165,
B00H3ETI40,"Allga San Mobil Frizione - Crema Riscaldante Muscoli Sportiva Professionale 250 ml Pomata Arnica per Massaggio Corpo, Schiena, Cervicale, Gambe, Ginocchia, Collo e Spalle con Oli Essenziali","Allga San","873,64 €","705,28 €",116,2
B08YM69BYZ,"Dr Theiss Pastiglie Duo - 24 Caramelle Gola Camomilla e Miele con Vitamina C e Salvia, Alleviano Tosse e Mal di Gola e Protegge la Mucosa Orale - Senza Glutine e Lattosio (60 g)","Dr. Thiess","753,90 €","425,25 €",105,
B08ZFJSSZ7,"Dr Theiss Vitamina D3 K2 - Spray Integratore Alimentare Multivitaminico 20 ml, per la Normale Funzione del Sistema Immunitario","Dr. Thiess","657,74 €","623,70 €",99,
B00IPA2QZO,"Allga San Deospray - Deodorante Scarpe Spray Antiodore, 100 ml - Trattamento al Pino Mugo Specifico per Piedi Freschi e Asciutti","Allga San","647,13 €","578,56 €",128,
B098PSVW79,"Medipharma Cosmetics Olivenol Intensive Cream - Crema Viso Antirughe con Retinolo Puro 50 ml - Trattamento Idratante, Rassodante, Anti Età e Rigenerante per Pelli Secche con Olio d'Oliva e Vitamina E",Medipharmacosmetics,"577,63 €","644,49 €",77,
B00H7Z6LIQ,"Allga San Crema Piedi Lipidizzante - Crema Piedi Secchi e Screpolati con Urea 10%, 100 ml - Piedi Morbidi e Vellutati dalle Prime Applicazioni - Aiuta a Contrastare Disidratazione e Secchezza Piedi","Allga San","518,51 €","451,86 €",72,1
B01M24Q2L8,"Active Nutrient Magnesio Forte 379 mg - Integratore Magnesio 20 Compresse Effervescenti (Magnesio, Potassio, Calcio) Senza Glutine e Lattosio (Stress, Sport, Allenamento)","Active Nutrient","507,65 €","596,40 €",71,
B08D6W6MFF,"Dr. Theiss Tisana Lax-Attiva - Tisana Finocchio Confezione 20 Filtri - Integratore Alimentare Pancia Piatta, Gonfiore Addominale e Sollievo allo Stomaco, con Frangula, Senna, Malva e Prugna","Dr. Thiess","467,40 €","492,00 €",123,2
B08YM2P2D3,"Dr. Theiss Arni-patch - Cerotti per i Dolori (Confezione da 5) con Arnica e Artiglio del Diavolo per Trattamento di Dolori Articolari e Muscolari a Cervicale e Schiena o Pancia per Dolori Mestruali)","Dr. Theiss","459,31 €","393,42 €",83,
B00P7SX47Q,"Dr. Theiss Bio Calendula Crema Balsamo Crema Calendula Idratante Corpo 100ml per Pelle Secca - Crema Lenitiva per Pelli Screpolate e Facilmente Arrossabili, irritazioni punture eritema","Dr. Thiess","449,40 €","448,40 €",76,
B08W3B9VQF,"Lacalut Lacalut Collutorio Antibatterico Micellare Whitening - Colluttorio Sbiancante Antibatterico 500 ml - Combatte Placca, Batteri e Tartaro per un Igiene Orale, Dentale Completa e Alito Fresco",Lacalut,"448,51 €","286,33 €",137,
B01ELKX7ZY,"Dr. Theiss Mucoplant Soluzione Orale Sedi - Sciroppo Tosse Secca Adulti e Bambini 100 ml, Allevia il Mal di Gola con Calmanti Naturali (Camomilla, Melissa, Timo e Estratto di Piantaggine)",Dr.Theiss,"442,32 €","399,77 €",93,
B01724BTJW,"Active Nutrient Integratore Magnesio e Potassio 20 Bustine - Bio Active Complex con Vitamina B6 e Vitamina E - Integratori Sali Minerali Senza Glutine e Lattosio per Sport - Gusto Limone","Active Nutrient","440,78 €","355,10 €",53,
B00H814G9K,"Allga San Mobil Gel - Arnica per cavalli uso umano Arnica Gel Coadiuvante Massaggio, 100ml - Per Zone del Corpo come Schiena, Cervicale, Gomiti, Ginocchia - Defaticante con Canfora","Allga San","424,67 €","426,56 €",86,
B0CVQQMQ9D,"Cerotti Allga San rimozione verruche, con acido salicilico. Resistenti all'acqua. 16 pz.",AllgaSan,"420,41 €","520,38 €",147,
B00H2L2D14,"Allga San Bagno Riducente Anti Callosità - Sali per Pediluvio Piedi per Calli, Duroni e Talloni Screpolati, 350g - Sali da Bagno Rilassanti e Profumati ad Azione Igienizzante - Con Olio di Pino Mugo","Allga San","412,31 €","495,00 €",99,
B09R7W8DGJ,"Dr Theiss Mucoplant Voce aktiv - Spray per Alleviare Mal di gola e Tosse Secca Adulti 30ml Fluido con Miele e Acido Ialuronico e Ingredienti Vegetali","Dr. Thiess","391,85 €","658,75 €",85,
B0B5CMJMPH,"Dr. Theiss Arnica Bambini - Crema Corpo Bambini Lenitiva 100 ml, Pomata con Arnica e Calendula con Azione Lenitiva e Benefica sulla Pelle Delicata del Bimbo","Dr. Theiss","335,72 €","427,20 €",48,
B000VI9D2C,"Allga San Crema Balsamo Piedi - Crema Piedi Rinfrescante e Idratante, 75 ml - Per Sollievo ai Piedi Stanchi e Appesantiti - Con Olio di Pino Mugo - Anche per Gambe Stanche e Pesanti","Allga San","319,13 €","386,84 €",76,
B08M1J75YY,"Dr. Theiss Arnica Lozione - Arnica per Cavalli uso Umano 250 ml - Estratto Arnica Montana per il Corpo e per la Pelle di Braccia Gambe e Caviglie, con Olio di Rosmarino, Salvia, Pino Mugo e Mentolo","Dr. Thiess","308,30 €","369,89 €",47,
B094W3HMVK,"Medipharma Cosmetics Olivenol Moisturizing Cream - Crema Viso Acido Ialuronico Antirughe 50 ml - Trattamento Idratante e Anti Età con Olio D'Oliva, Burro Di Karitè e Urea (Donna e Uomo)",Medipharmacosmetics,"297,66 €","230,80 €",33,
B08YM34RJP,"Dr Theiss Pastiglie Duo - 24 Caramelle Gola al Timo con Vitamina C e Salvia, Alleviano Tosse e Mal di Gola e Protegge la Mucosa Orale - Senza Glutine e Lattosio (60 g)","Dr. Thiess","275,40 €","193,83 €",39,1
B071LHXZ4V,"Active Nutrient Integratore Alimentare Magnella - Integratore Magnesio Chelato 28 Compresse - Bio Active Complex con Vitamina B6 Senza Glutine E Lattosio, Aiuta a Combattere Stanchezza, Stress","Active Nutrient","274,99 €","234,14 €",23,
B08ZFLHBT4,"Dr. Thiess Activenutrient Vitamina C Max - Integratore Vitamina C 30 Compresse Bisfasiche - Multivitaminico per il Normale Funzionamento del Sistema Immunitario, con Vitamine e Minerali (C, D e Zinco)","Dr. Thiess","253,80 €","244,32 €",24,
B0BXT6Y3HC,"Crema calendula 30% Dr. Theiss pelle secca sensibile. Arrossamenti, punture d'insetto, tattoo. 50 ml","Dr. Theiss","234,12 €","292,40 €",40,
B088G11SQJ,"Dr. Theiss Arnica Ematoblock Roll On - Crema Arnica e Calendula Effetto Rinfrescante, 50 ml - Coadiuvante e Sollievo Cutaneo, Ideale per Massaggio Sulla Pelle del Corpo","Dr Theiss","233,73 €","186,20 €",49,
B08D6T2Z1F,"Active Nutrient Magnesium 375 - Integratore Magnesio Completo 14 Bustine Orosolubili da 2 gr - Adatto per Dieta Accelera Metabolismo, Stress, Allattamento, Sport, Allenamento e Diarrea","Active Nutrient","223,00 €","163,24 €",28,
B07F4GPX9Q,"Lacalut Multi-Effect - Dentifricio Sbiancante al Fluoro 75 ml - Formulazione 5in1 (Rinforza Smalto, Tonifica Gengive, Previene Carie, Denti Bianchi e Alito Fresco) una Completa Igiene Orale e Dentale",Lacalut,"220,22 €","150,15 €",77,
B09KCPYS32,"Hyaluron crema mani. Pelle secca e screpolata cuticole unghie. Acido ialuronico, biotina, vitamina A e provitamina B5 idrata la pelle secca di mani e cuticole non unge. Crema Vegana 50ml",Medipharmacosmetics,"220,11 €","189,66 €",87,1
B00H7Z34VS,"Allga San Balsamo Trattante per Piedi - Crema Piedi Secchi Screpolati 100 ml, Trattamento Cosmetico, Idratante e Nutriente per Sollievo a Piedi Stanchi e Appesantiti, con Pino Mugo e Arancia","Allga San","213,82 €","275,40 €",54,
B08W3BHHZF,"Lacalut Colluttorio Micellare Multi-Effect - Colluttorio Gengive Sane e Igiene Dentale 500 ml - Combatte Placca, Batteri e Tartaro per un Igiene Orale Completa e Alito Fresco",Lacalut,"204,96 €","140,30 €",61,
B08D6VFFMS,"Dr. Theiss Tisana Dolce Notte 20 Filtri - Tisana per Dormire Bene con Ingredienti Naturali per il Sonno e Addormentamento (Ecolzia, Passiflora, Biancospino e Melissa)","Dr. Thiess","194,60 €","127,31 €",29,1
B001NYRTQU,"Olivenol Balsamo Corpo per Pelle Secca 250 ml - Crema Corpo Idratante con Olio d'Oliva, Burro di Karitè, Olio di Jojoba, Viamina E e Retinolo",Medipharmacosmetics,"180,83 €","205,55 €",20,
B0006NYCVY,"Allga San Crema Gambe - Crema Drenante Gambe, 100ml - Rinfrescante, Sgonfiante e Benefica per Gambe Pesanti e Stanche - Con Olio di Pino Mugo","Allga San","173,61 €","148,77 €",27,2
B08D6VW4YS,"Dr. Theiss Tisana Zenzero e Limone di Sicilia - Integratore Alimentare Confezione da 20 Filtri - Per Pancia Piatta, Gonfiore Addominale e Sollievo allo Stomaco","Dr. Thiess","157,62 €","105,36 €",24,1
B08VT9BNL5,"Dr. Thiess Mucoplant Kids Immun Lecca Lecca - Integratore Normali Difese Immunitarie con Vitamina C e Estratti di Sambuco","Dr. Thiess","154,04 €","93,12 €",24,
B0C4T65XNT,"Allga San Crema Anti callosità MULTI AKTIV- Crema Piedi, Calli e Duroni 100 ml Idratante per Piedi e Talloni Secchi con olio mandorle dolci per Ammorbidire","Allga San","117,05 €","79,50 €",10,
B00H7ZDDUU,"Allga San Crema Riducente Anticallosità Extra Forte - Crema Piedi, Calli, Duroni e Talloni Screpolati con Acido Salicilico, 30ml - Per Calli e Ispessimenti Persistenti e Localizzati, 1","Allga San","114,56 €","138,60 €",22,
B0CHWBLYFC,"LACALUT Junior dentifricio 6+ anni. Igiene quotidiana protezione carie. con fluoro e xilitolo. Gusto mela e menta delicata 55ml",Lacalut,"98,80 €","90,48 €",52,
B08D6TPV1J,"Dr. Theiss Depur-Attiva - Integratore Alimentare Tisana 20 Filtri - a Base di Ortica, Tarassaco e Bardana per Pancia Piatta, Gonfiore Addominale con Limone e Malva","Dr. Thiess","88,53 €","57,07 €",13,
B098PRDTLR,"Medipharma Cosmetics Olivenol Night Cream - Crema Viso Notte Antirughe Idratante 50 ml - Trattamento Anti Età con Olio d'Oliva, Olio di Jojoba e Burro di Karitè per Pelle Secca (Donna e Uomo)",Medipharmacosmetics,"82,94 €","101,42 €",11,
B08VTB7D9F,"Dr. Theiss Mucoplant - 6 Lecca Lecca Bambini 60 g - Chupa Chupa per Sollievo dal Mal di Gola e Protegge la Mucosa Orale, con Con Altea, Vitamina C e Salvia","Dr. Thiess","56,26 €","67,50 €",18,
B09GPF8D2J,"Dr. Theiss Activenutrient Vitamin C Max - Integratore Vitamina C 20 Compresse - Multivitaminico Effervescente per il Normale Funzionamento del Sistema Immunitario, con Vitamina C e Zinco","Dr. Thiess","53,48 €","36,89 €",7,
B08D6T7TTS,"Dr. Theiss Tisana al Finocchio - Integratore Alimentare Confezione da 20 Filtri - Pancia Piatta, Gonfiore Addominale e Sollievo (100% Fiori di Finocchio Naturali)","Dr. Thiess","53,45 €","35,12 €",8,
B0CKXM7PQ9,"Bagnoschiuma Blue Therapy Mousse Home Spa - gel doccia naturale per pulizia profonda e delicata con aloe - senza parabeni e siliconi - idea regalo - 200 ml",Medipharmacosmetics,"51,66 €","37,80 €",7,
B0BFWZ5BZW,"Dr. Theiss MULTI IMMUN Integratore Vitamina C Selenio e Zinco 20 Compresse Effervescenti - Vitamine e Minerali per Uomo e Donna con Calcio per Sistema Immunitario e Funzionalità delle Ossa","Dr. Theiss","45,00 €","30,83 €",5,
B0CKXQ4H7Z,"Crema corpo Green Garden Balsamo Home Spa - nutre e idrata la pelle secca e sensibile - idea regalo - 250 ml",Medipharmacosmetics,"42,64 €","33,08 €",4,
B08D6TPHY7,"Dr. Theiss Tisana Dopo Pasto - Integratore Alimentare Confezione da 20 Filtri - Pancia Piatta, Gonfiore Addominale e Sollievo a Stomaco con Salvia, Rosmarino e Limone","Dr. Thiess","39,25 €","26,34 €",6,
B00H7ZEQDI,"Allga San Pomata Antiscrepolature - Crema Mani Riparatrice e Piedi Secchi Screpolati 90 ml, Trattamento Idratante e Nutriente per la Pelle, con Azione Lenitiva Addolcente","Allga San","37,95 €","42,39 €",8,
B00D3HXPHC,"Allga San Sali Per Pediluvio Piedi - Sali da Bagno Rilassanti e Profumati ad Azione Igienizzante (10 Bustine da 10g) - Ammorbidisce i Piedi Secchi e Contrasta l'Odore dei Piedi - Con Olio di Pino Mugo",AllgaSan,"34,60 €","33,60 €",8,
B0CKLML3L5,"LACALUT dentifricio sbiancante Black & White. Sbiancante Denti Professionale. Remineralizza lo smaltodei denti Dentifricio Sbiancante Professionale Carbone Attivo. 75ml",Lacalut,"33,42 €","31,50 €",9,
B0CKXLT6LQ,"Bagnoschiuma Green Garden Mousse Home Spa - gel doccia naturale per pulizia profonda e delicata con aloe - senza parabeni e siliconi - idea regalo - 200 ml",Medipharmacosmetics,"29,52 €","22,88 €",4,
B0CHWB7T6C,"LACALUT Kids dentifricio 2-6 anni. Igiene quotidiana protezione carie. con fluoro e xilitolo. gusto menta delicata 55ml",Lacalut,"28,44 €","19,76 €",13,
B08W3BHQ6G,"Lacalut Lacalut Collutorio Antibatterico Micellare Sensitive - Colluttorio Gengive Infiammate e Denti Sensibili 500 ml - Azione Delicata che Rimuove la Placca per un Igiene Dentale e Orale Completa",Lacalut,"25,05 €","15,12 €",7,
